id,color_hex,brand,product_line,shade_name,product_type,color_rgb,color_hsl,color_lab_l,color_lab_a,color_lab_b,brightness,saturation,hue_degree,undertone,undertone_confidence,color_depth,color_family,color_family_confidence,finish,finish_confidence,recommended_skin_undertone,recommended_skin_depth,seasonal_palette
anastasia-beverly-hills-dusty-mauve,#a26970,Anastasia Beverly Hills,Matte Lipstick,Dusty Mauve,lipstick,"{""r"":162,""g"":105,""b"":112}","{""h"":352.63,""s"":23.46,""l"":52.35}",50.6356,23.7997,5.5721,50.64,23.46,352.63,neutral,0.5333,medium,dusty-rose,0.4806,matte,0.99,"[""warm"",""cool"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",summer
anastasia-beverly-hills-rum-punch,#9d3f3f,Anastasia Beverly Hills,Matte Lipstick,Rum Punch,lipstick,"{""r"":157,""g"":63,""b"":63}","{""h"":0.0,""s"":42.73,""l"":43.14}",39.7217,39.1982,20.1002,39.72,42.73,0.0,warm,0.99,deep,rose,0.5167,matte,0.99,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
anastasia-beverly-hills-staunch,#c1756b,Anastasia Beverly Hills,Matte Lipstick,Staunch,lipstick,"{""r"":193,""g"":117,""b"":107}","{""h"":6.98,""s"":40.95,""l"":58.82}",57.1963,28.7063,18.2462,57.2,40.95,6.98,warm,0.99,medium,rose,0.5409,matte,0.99,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",spring
anastasia-beverly-hills-kiss,#ce8781,Anastasia Beverly Hills,Matte Lipstick,Kiss,lipstick,"{""r"":206,""g"":135,""b"":129}","{""h"":4.68,""s"":44.0,""l"":65.69}",63.3739,26.4769,14.4769,63.37,44.0,4.68,warm,0.99,light,rose,0.5409,matte,0.99,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",summer
anastasia-beverly-hills-rage,#863582,Anastasia Beverly Hills,Matte Lipstick,Rage,lipstick,"{""r"":134,""g"":53,""b"":130}","{""h"":302.96,""s"":43.32,""l"":36.67}",36.4182,45.0616,-27.1583,36.42,43.32,302.96,cool,0.99,deep,berry,0.49,matte,0.99,"[""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
anastasia-beverly-hills-cotton-candy,#dc528e,Anastasia Beverly Hills,Matte Lipstick,Cotton Candy,lipstick,"{""r"":220,""g"":82,""b"":142}","{""h"":333.91,""s"":66.35,""l"":59.22}",55.2853,59.1852,-4.421,55.29,66.35,333.91,cool,0.99,medium,berry,0.99,matte,0.99,"[""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
anastasia-beverly-hills-orchid,#ba4e80,Anastasia Beverly Hills,Matte Lipstick,Orchid,lipstick,"{""r"":186,""g"":78,""b"":128}","{""h"":332.22,""s"":43.9,""l"":51.76}",48.821,48.7614,-6.2546,48.82,43.9,332.22,cool,0.99,medium,plum,0.4738,matte,0.99,"[""cool"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",winter
anastasia-beverly-hills-rust,#6d3d31,Anastasia Beverly Hills,Matte Lipstick,Rust,lipstick,"{""r"":109,""g"":61,""b"":49}","{""h"":12.0,""s"":37.97,""l"":30.98}",31.3733,19.6662,16.4883,31.37,37.97,12.0,warm,0.99,deep,brick,0.5138,matte,0.99,"[""warm"",""neutral""]","[""medium"",""tan"",""deep""]",autumn
anastasia-beverly-hills-stevie,#924b45,Anastasia Beverly Hills,Matte Lipstick,Stevie,lipstick,"{""r"":146,""g"":75,""b"":69}","{""h"":4.68,""s"":35.81,""l"":42.16}",40.5316,29.1791,17.1586,40.53,35.81,4.68,warm,0.99,deep,rose,0.5167,matte,0.99,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
anastasia-beverly-hills-rogue,#90413a,Anastasia Beverly Hills,Matte Lipstick,Rogue,lipstick,"{""r"":144,""g"":65,""b"":58}","{""h"":4.88,""s"":42.57,""l"":39.61}",37.873,32.8292,20.3681,37.87,42.57,4.88,warm,0.99,deep,rose,0.5167,matte,0.99,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
anastasia-beverly-hills-rosewood,#98453f,Anastasia Beverly Hills,Matte Lipstick,Rosewood,lipstick,"{""r"":152,""g"":69,""b"":63}","{""h"":4.04,""s"":41.4,""l"":42.16}",40.0687,34.2612,20.3938,40.07,41.4,4.04,warm,0.5468,deep,mlbb,0.45,matte,0.99,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
anastasia-beverly-hills-stargazer,#e73768,Anastasia Beverly Hills,Matte Lipstick,Stargazer,lipstick,"{""r"":231,""g"":55,""b"":104}","{""h"":343.3,""s"":78.57,""l"":56.08}",52.6484,68.6027,14.7098,52.65,78.57,343.3,warm,0.6808,medium,rose,0.99,matte,0.99,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",spring
